1.770000000000000000e+02,5.672999999999999687e+01,2.105000000000000071e+01,3.889699999999999935e+00,2.104999999999999927e-01,2.458999999999999986e+01,3.299999999999999982e-03,1.660000000000000017e-02,7.499999999999999722e-03
2.360000000000000000e+02,6.959999999999999964e+00,3.740000000000000213e+00,8.074999999999999956e-01,3.740000000000000269e-02,9.410000000000000142e+00,5.000000000000000104e-04,1.959999999999999937e-02,1.389999999999999916e-02
3.420000000000000000e+02,3.642999999999999972e+01,6.580000000000000071e+00,6.794999999999999929e-01,6.579999999999999738e-02,9.529999999999999361e+00,8.999999999999999754e-04,4.440000000000000197e-02,7.000000000000000146e-03
1.740000000000000000e+02,1.256000000000000050e+01,5.299999999999999822e+00,4.719999999999999890e-02,5.299999999999999850e-02,1.405399999999999920e+02,2.099999999999999870e-03,1.293999999999999873e-01,2.910000000000000087e-02
1.040000000000000000e+02,2.821999999999999886e+01,6.240000000000000213e+00,1.334000000000000075e+00,6.239999999999999714e-02,4.324000000000000199e+01,1.500000000000000031e-03,3.000000000000000062e-03,4.499999999999999660e-03
1.840000000000000000e+02,5.306000000000000227e+01,2.049999999999999822e+00,6.522700000000000387e+00,2.050000000000000086e-02,4.169999999999999929e+00,8.000000000000000383e-04,3.109999999999999917e-02,3.299999999999999982e-03
2.100000000000000000e+02,4.040999999999999659e+01,4.519999999999999574e+00,1.540699999999999958e+00,4.519999999999999712e-02,1.125000000000000000e+01,6.999999999999999929e-04,6.100000000000000387e-03,4.400000000000000265e-03
2.320000000000000000e+02,5.900000000000000000e+01,6.610000000000000320e+00,1.884700000000000042e+00,6.610000000000000597e-02,1.080000000000000071e+00,2.899999999999999800e-03,0.000000000000000000e+00,4.000000000000000192e-04
2.540000000000000000e+02,8.849999999999999645e+00,5.700000000000000178e+00,1.935000000000000053e-01,5.700000000000000205e-02,4.879999999999999893e+00,6.999999999999999929e-04,2.630000000000000046e-02,3.799999999999999992e-03
3.930000000000000000e+02,6.931999999999999318e+01,1.030000000000000071e+01,1.782799999999999940e+00,1.029999999999999943e-01,2.230999999999999872e+01,3.500000000000000073e-03,1.809000000000000052e-01,8.699999999999999400e-03
1.550000000000000000e+02,1.308000000000000007e+01,4.000000000000000000e+00,1.789999999999999925e-02,4.000000000000000083e-02,5.650000000000000000e+01,5.999999999999999474e-04,1.050000000000000065e-02,1.009999999999999960e-02
1.950000000000000000e+02,6.660000000000000142e+00,1.350000000000000089e+00,2.757999999999999896e-01,1.349999999999999985e-02,1.348000000000000043e+01,2.999999999999999737e-04,0.000000000000000000e+00,6.700000000000000226e-03
1.270000000000000000e+02,1.791000000000000014e+01,5.000000000000000000e+00,6.390000000000000124e-01,5.000000000000000278e-02,6.519999999999999574e+00,2.000000000000000042e-03,0.000000000000000000e+00,3.200000000000000153e-03
1.270000000000000000e+02,8.750000000000000000e+00,5.000000000000000278e-02,9.180000000000000659e-02,5.000000000000000104e-04,4.550999999999999801e+01,2.099999999999999870e-03,0.000000000000000000e+00,1.439999999999999961e-02
1.070000000000000000e+02,3.821999999999999886e+01,8.735999999999999943e+01,9.443000000000000282e-01,8.736000000000000432e-01,2.692999999999999972e+01,2.160000000000000114e-02,2.758999999999999786e-01,1.170000000000000033e-02
1.330000000000000000e+02,1.950000000000000000e+01,8.279999999999999361e+00,7.739999999999999658e-02,8.279999999999999860e-02,7.599999999999999645e+00,2.599999999999999881e-03,3.200000000000000067e-02,6.199999999999999782e-03
2.240000000000000000e+02,1.389000000000000057e+01,3.089999999999999858e+00,6.382399999999999629e+00,3.090000000000000038e-02,1.780000000000000071e+01,2.700000000000000143e-03,2.799999999999999972e-03,1.069999999999999944e-02
1.960000000000000000e+02,3.839000000000000057e+01,6.804999999999999716e+01,8.431999999999999496e-01,6.804999999999999938e-01,2.192000000000000171e+01,1.430000000000000021e-02,2.187999999999999945e-01,5.700000000000000205e-03
2.470000000000000000e+02,2.412000000000000099e+01,1.350000000000000089e+00,5.072999999999999732e-01,1.349999999999999985e-02,7.219999999999999751e+00,5.999999999999999474e-04,0.000000000000000000e+00,3.700000000000000164e-03
1.420000000000000000e+02,5.039000000000000057e+01,3.321000000000000085e+01,5.428399999999999892e+00,3.321000000000000063e-01,1.667000000000000171e+01,4.599999999999999922e-03,3.694999999999999951e-01,6.599999999999999964e-03
1.740000000000000000e+02,3.907999999999999829e+01,3.761999999999999744e+01,1.545800000000000063e+00,3.761999999999999789e-01,1.612000000000000099e+01,9.499999999999999764e-03,5.879999999999999810e-02,4.300000000000000003e-03
1.640000000000000000e+02,2.219999999999999929e+01,9.500000000000000000e+00,4.858999999999999986e-01,9.500000000000000111e-02,2.807999999999999829e+01,4.300000000000000003e-03,8.150000000000000300e-02,7.900000000000000772e-03
2.960000000000000000e+02,1.149699999999999989e+02,1.127999999999999936e+01,1.802799999999999958e+00,1.127999999999999975e-01,2.260699999999999932e+02,3.599999999999999901e-03,1.648999999999999910e-01,5.050000000000000322e-02
1.490000000000000000e+02,1.751000000000000156e+01,6.040000000000000036e+00,1.683300000000000018e+00,6.040000000000000230e-02,2.058999999999999986e+01,1.399999999999999986e-03,1.820000000000000090e-02,1.089999999999999997e-02
1.890000000000000000e+02,1.255000000000000071e+01,4.429999999999999716e+00,7.489999999999999436e-02,4.429999999999999910e-02,1.052999999999999936e+01,2.999999999999999737e-04,3.000000000000000062e-03,2.399999999999999790e-03
1.180000000000000000e+02,3.867999999999999972e+01,5.517000000000000171e+01,1.803399999999999892e+00,5.516999999999999682e-01,3.914999999999999858e+01,1.439999999999999961e-02,2.524000000000000132e-01,9.100000000000000450e-03
1.320000000000000000e+02,4.678000000000000114e+01,2.542000000000000171e+01,2.016999999999999904e+00,2.541999999999999815e-01,3.099999999999999978e-01,8.000000000000000167e-03,1.948999999999999899e-01,2.000000000000000096e-04
1.150000000000000000e+02,3.457999999999999829e+01,2.114999999999999858e+01,2.325400000000000134e+00,2.114999999999999936e-01,2.250000000000000000e+01,6.499999999999999702e-03,2.500000000000000139e-02,5.499999999999999681e-03
2.290000000000000000e+02,6.778000000000000114e+01,2.510000000000000142e+01,2.028000000000000025e+00,2.510000000000000009e-01,3.180000000000000160e+00,6.199999999999999782e-03,2.757000000000000006e-01,6.999999999999999929e-04
1.490000000000000000e+02,3.919999999999999929e+00,2.999999999999999889e-02,5.889499999999999957e+00,2.999999999999999737e-04,4.629999999999999716e+01,2.000000000000000096e-04,0.000000000000000000e+00,1.949999999999999997e-02
1.860000000000000000e+02,4.153999999999999915e+01,1.535999999999999943e+01,2.684499999999999886e+00,1.535999999999999865e-01,1.676000000000000156e+01,3.000000000000000062e-03,3.640000000000000180e-02,1.699999999999999905e-03
2.680000000000000000e+02,1.254800000000000040e+02,4.478000000000000114e+01,2.914000000000000146e+00,4.477999999999999758e-01,5.860000000000000142e+01,1.050000000000000065e-02,3.111999999999999766e-01,8.200000000000000691e-03
2.570000000000000000e+02,6.762000000000000455e+01,2.044000000000000128e+01,1.048419999999999952e+01,2.043999999999999984e-01,1.703000000000000114e+01,1.239999999999999956e-02,6.999999999999999929e-04,1.119999999999999989e-02
2.190000000000000000e+02,1.458999999999999986e+01,5.400000000000000355e+00,5.171999999999999931e-01,5.399999999999999939e-02,7.754000000000000625e+01,1.899999999999999996e-03,1.359999999999999924e-02,1.110000000000000049e-02
1.290000000000000000e+02,2.151000000000000156e+01,3.620000000000000107e+00,6.169999999999999929e-01,3.620000000000000301e-02,3.342000000000000171e+01,6.999999999999999929e-04,1.170000000000000033e-02,3.299999999999999982e-03
1.850000000000000000e+02,1.712999999999999901e+01,5.339999999999999858e+00,3.932900000000000063e+00,5.340000000000000302e-02,2.410000000000000142e+00,1.000000000000000048e-04,4.000000000000000192e-04,5.999999999999999474e-04
